                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.63452,                 1.0573,                0.35022,                0.80273,                0.83564,                0.84625,                0.92605,                0.80288,                0.84114,                  0.835,                0.91228,                0.57405,                    nan,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     72,                0.62653,                 1.0579,                0.34541,                0.80087,                0.75219,                  0.845,                0.89352,                0.78134,                0.74774,                   0.84,                0.88448,                0.57723,                    nan,                    nan,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     73,                0.62964,                  1.051,                0.34561,                0.79925,                0.79694,                0.85364,                0.90531,                0.78466,                0.79111,                0.84739,                0.89368,                0.57348,                    nan,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     74,                0.62361,                 1.0549,                0.34526,                0.80262,                0.81322,                0.86375,                0.90503,                0.79064,                0.81324,                0.84914,                0.89201,                0.57556,                    nan,                    nan,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                     75,                0.62444,                 1.0567,                0.34522,                0.79972,                0.71443,                  0.865,                  0.859,                0.75463,                0.71395,                0.85875,                0.85109,                0.57275,                    nan,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     76,                0.63619,                 1.0731,                0.35055,                0.80109,                0.79008,                   0.86,                0.91713,                0.80138,                0.78663,                0.85625,                0.90965,                0.60519,                    nan,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     77,                0.63433,                 1.0693,                0.35036,                0.80251,                  0.723,                0.86625,                0.88333,                 0.7725,                0.71892,                0.85684,                0.87503,                0.57566,                    nan,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     78,                0.63875,                 1.0543,                0.35125,                  0.802,                0.68184,                0.88625,                 0.7953,                0.69535,                0.68663,                0.86551,                0.78666,                0.51882,                    nan,                    nan,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                     79,                0.61445,                 1.0536,                0.34068,                0.79932,                0.72808,                0.85625,                0.85835,                0.75058,                0.72329,                0.84951,                0.84976,                0.56081,                    nan,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     80,                0.62528,                 1.0495,                0.34158,                0.80263,                0.69219,                0.86295,                0.81742,                0.71119,                0.68732,                 0.8525,                0.80729,                0.52433,                    nan,                    nan,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                     81,                0.62117,                 1.0504,                0.33831,                0.79981,                0.73149,                0.83875,                0.87033,                0.76043,                0.73405,                0.82875,                0.86066,                0.55682,                    nan,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     82,                 0.6138,                 1.0481,                0.33805,                0.80002,                0.72943,                 0.8575,                0.86159,                0.74486,                0.73182,                0.84594,                0.85109,                 0.5486,                    nan,                    nan,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
                     83,                0.61895,                 1.0459,                0.34021,                 0.7989,                0.72411,                 0.8675,                0.86144,                0.74821,                0.72168,                 0.8575,                0.85138,                 0.5466,                    nan,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     84,                0.62507,                 1.0586,                0.34346,                0.79862,                0.71732,                0.86914,                0.86499,                0.75845,                0.71517,                 0.8575,                0.85419,                0.55367,                    nan,                    nan,                    nan,                    nan,              0.0003566,              0.0003566,              0.0003566
                     85,                0.63631,                 1.0678,                0.34472,                0.80157,                0.70797,                0.87274,                0.85118,                0.74745,                0.70763,                   0.86,                0.84227,                0.55453,                    nan,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     86,                0.60905,                 1.0436,                0.33209,                0.79676,                0.67579,                  0.885,                0.83238,                0.73224,                 0.6801,                 0.8625,                0.81956,                0.53473,                    nan,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     87,                0.60609,                 1.0326,                0.33054,                0.80028,                0.73249,                0.84875,                0.86688,                0.76134,                0.72793,                 0.8425,                0.85973,                0.56648,                    nan,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     88,                0.60609,                 1.0125,                0.32967,                0.79804,                0.73308,                 0.8475,                0.87993,                0.76808,                0.73257,                  0.835,                0.87025,                0.56623,                    nan,                    nan,                    nan,                    nan,              0.0002774,              0.0002774,              0.0002774
                     89,                0.60751,                 1.0257,                0.33103,                0.79716,                0.74504,                0.84376,                0.88355,                0.77215,                0.74924,                0.83625,                0.87497,                0.58338,                    nan,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     90,                0.60079,                 1.0317,                0.33167,                0.79694,                0.71544,                0.85875,                 0.8629,                0.75905,                0.71258,                0.84295,                0.85162,                0.55811,                    nan,                    nan,                    nan,                    nan,              0.0002378,              0.0002378,              0.0002378
                     91,                0.61769,                 1.0602,                0.34399,                0.79654,                0.80086,                0.85375,                0.91003,                0.78972,                0.79623,                0.83521,                0.89448,                 0.5661,                    nan,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     92,                 0.5999,                 1.0528,                0.33677,                0.79859,                0.67996,                0.89501,                0.82401,                0.71277,                0.68407,                0.86882,                0.81173,                0.52277,                    nan,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     93,                0.58896,                 1.0256,                0.32868,                0.79792,                0.67972,                 0.8825,                 0.8295,                0.71989,                0.67784,                0.86625,                0.81705,                0.53348,                    nan,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     94,                0.58895,                 1.0183,                 0.3296,                0.79864,                0.68895,                0.88044,                0.82948,                0.72188,                0.68519,                 0.8675,                0.82084,                0.54185,                    nan,                    nan,                    nan,                    nan,              0.0001586,              0.0001586,              0.0001586
                     95,                0.59116,                 1.0323,                0.32916,                0.79584,                0.69753,                 0.8775,                0.84982,                0.73791,                0.69601,                0.87003,                0.84196,                0.55172,                    nan,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     96,                0.57696,                 1.0047,                0.32255,                0.79859,                0.68516,                0.88679,                0.83815,                0.72861,                0.68014,                0.87875,                0.82974,                0.54575,                    nan,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
                     97,                0.58902,                 1.0142,                0.32493,                0.79968,                0.68181,                  0.885,                0.83759,                0.72921,                0.67659,                0.87345,                0.82465,                0.54206,                    nan,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.5828,                 1.0013,                0.32529,                0.79643,                 0.6684,                 0.8925,                0.80919,                0.70356,                0.66573,                0.87629,                0.79761,                0.52357,                    nan,                    nan,                    nan,                    nan,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.58169,                 1.0099,                0.32112,                0.80126,                0.68579,                0.87848,                0.82688,                0.72181,                0.67962,                   0.87,                0.81566,                0.53489,                    nan,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.58134,                 1.0085,                0.32228,                0.79617,                0.68147,                0.88375,                0.81812,                0.71287,                0.67597,                0.86875,                 0.8065,                0.52482,                    nan,                    nan,                    nan,                    nan,               3.98e-05,               3.98e-05,               3.98e-05
